miembro ;tipo_institucion;provincia
Astorga;Ayuntamientos;León
Ávila;Ayuntamientos;Ávila
Barco de Ávila;Ayuntamientos;Ávila
Belorado;Ayuntamientos;Burgos
Cacabelos;Ayuntamientos;León
Burgos;Ayuntamientos;Burgos
Camponraya;Ayuntamientos;León
Candelario;Ayuntamientos;Salamanca
Cebreros;Ayuntamientos;Ávila
Consejo Comarcal de El Bierzo;Comarca;León
Covaleda;Ayuntamientos;Soria
Cuéllar;Ayuntamientos;Segovia
Diputación Provincial de Burgos;Diputaciones;Burgos
Diputación Provincial de Palencia;Diputaciones;Palencia
Diputación Provincial de Valladolid;Diputaciones;Valladolid
Diputación Provincial de Zamora;Diputaciones;Zamora
Duruelo de la Sierra;Ayuntamientos;Soria
Guijuelo;Ayuntamientos;Salamanca
La Adrada;Ayuntamientos;Ávila
León;Ayuntamientos;León
Madrigal de las Altas Torres;Ayuntamientos;Ávila
Mancomunidad de Entresierras;Mancomunidades;Salamanca
Mancomunidad de Municipios Ruta de la Plata;Mancomunidades;Salamanca
Mancomunidad Raíces de Castilla;Mancomunidades;Burgos
Medina de Rioseco;Ayuntamientos;Valladolid
Mogarraz;Ayuntamientos;Salamanca
Mucientes;Ayuntamientos;Salamanca
Palencia;Ayuntamientos;Palencia
Ponferrada;Ayuntamientos;León
Puebla de Sanabria;Ayuntamientos;Zamora
Riaño;Ayuntamientos;León
Salamanca;Ayuntamientos;Salamanca
San Esteban de la Sierra;Ayuntamientos;Salamanca
San Martín del Castañar;Ayuntamientos;Salamanca
Segovia;Ayuntamientos;Segovia
Soria;Ayuntamientos;Soria
Sotillo de la Adrada;Ayuntamientos;Segovia
Tardajos;Ayuntamientos;Burgos
Trabadelo;Ayuntamientos;León
Valladolid;Ayuntamientos;Valladolid
Vega de Valcarce;Ayuntamientos;León
Villafranca del Bierzo;Ayuntamientos;León
Villardeciervos;Ayuntamientos;Zamora
Zamora;Ayuntamientos;Zamora